group,stock_name
電子零組件業,慶生
建材營造業,理銘
半導體封測材料指標,中探針
通信網路業,豪勉
建材營造業,富旺
電子零組件業,岳豐
資訊服務業,晉泰
光電業,立軒
半導體封測材料指標,旺矽
IC零組件通路商指標,茂綸
電腦及週邊設備業,全譜
半導體業,研通
資訊服務業,系微
USB_IC指標,旺玖
印刷電路板上游與材料指標,高僑
數位雲端,中湛
半導體業,驊訊
資訊服務業,松崗
通信網路業,鑫永洋
生技醫療業,立康
光電業,茂迪
通信網路業,立端
光電業,臺龍
鋼鐵工業,沛波
電子零組件業,百徽
IC封測指標,久元
通信網路業,普萊德
建材營造業,富裔
IC零組件通路商指標,方土昶
電子代工指標,泰詠
IC零組件通路商指標,倍微
銅箔基板指標,台燿
散熱模組指標,元山
電腦及週邊設備業,安鈦克
車用電子指標,胡連
電子零組件業,佳邦
連接線材指標,良維
電源管理IC指標,沛亨
電子零組件業,迅德
文化創意業,智基
半導體業,晶焱
通信網路業,韋僑
電子零組件業,詠昇
光電業,京晨科
設計IP指標,億而得
半導體設備指標,易發
電子零組件業,今展科
分離式元件指標,大中
電腦及週邊設備業,廣錠
生技醫療業,益得
半導體業,神盾
通信網路業,威潤
生技醫療業,大樹
通信網路業,宇智
IC零組件通路商指標,華豫寧
文化創意業,弘煜科
半導體業,點序
通信網路業,互動
AI伺服器_系統整合,環球晶
生技醫療業,生華科
MCU指標,九齊
生技醫療業,科懋
光學鏡頭指標,久禾光
生技醫療業,益安
紡織纖維,雙邦
農業科技業,惠光
化學工業,聚和
半導體封測材料指標,精測
其他電子業,啟發電
資訊服務業,勤崴國際
光學鏡頭指標,保勝光學
生技醫療業,達爾膚
生技醫療業,明達醫
光纖產品指標,創威
半導體設備指標,瑞耘
生技醫療業,順藥
電子零組件業,倉和
文化創意業,隆中
通信網路業,正基
生技醫療業,高端疫苗
半導體封測材料指標,長科*
光電業,勝品
光電業,欣普羅
通信網路業,是方
半導體業,宏觀
生技醫療業,醫揚
電腦及週邊設備業,維田
生技醫療業,霈方
生技醫療業,逸達
電腦及週邊設備業,勁豐
農業科技業,達邦蛋白
軸承滑軌指標,南俊國際
光纖產品指標,東典光電
資訊服務業,普鴻
資訊服務業,台灣銘板
文化創意業,寬宏藝術
電子零組件業,立誠
電機機械,富強鑫
電機機械,瀧澤科
生技醫療業,奈米醫材
半導體設備指標,朋億*
生技醫療業,慧智
居家生活,特昇-KY
生技醫療業,共信-KY
生技醫療業,漢達
綠能環保,萬年清
居家生活,泰金-KY
生技醫療業,醫影
半導體設備指標,均華
電子零組件業,富致
設計IP指標,M31
生技醫療業,台生材
分離式元件指標,全宇昕
其他電子業,天正國際
生技醫療業,威健生技
生技醫療業,樂斯科
PCB設備指標,群翊
其他電子業,信紘科
半導體業,鈺太
電腦及週邊設備業,鑫創電子
半導體封測材料指標,雍智科技
半導體業,安格
數位雲端,安碁資訊
綠能環保,進能服
分離式元件指標,廣閎科
資訊服務業,東捷資訊
生技醫療業,軒郁
半導體業,天擎
生技醫療業,長聖
MCU指標,應廣
半導體業,久昌
其他業,信實
其他電子業,矽科宏晟
PCB設備指標,亞泰金屬
居家生活,上洋
生技醫療業,常廣
半導體業,昇佳電子
生技醫療業,博晟生醫
半導體設備指標,美達科技
其他電子業,竹陞科技
數位雲端,91APP*-KY
資訊服務業,智聯服務
軟體指標,叡揚
電子零組件業,穩得
生技醫療業,達亞
數位雲端,綠界科技*
生技醫療業,台微醫
生技醫療業,昱展新藥
半導體設備指標,華景電
資訊服務業,虎門科技
綠能環保,崑鼎
運動休閒,明係
數位雲端,宏碁資訊
電子零組件業,聯寶
半導體業,濾能
半導體設備指標,千附精密
電子驗證相關指標,東研信超
生技醫療業,長佳智能
電機機械,進典
生技醫療業,諾貝兒
食品工業,綠茵
其他電子業,數泓科
文化創意業,鑫傳
光學鏡頭指標,伯特光
數位雲端,偉康科技
數位雲端,騰雲
生技醫療業,浩宇生醫
資訊服務業,倍力
生技醫療業,國邑*
其他電子業,鏵友益
其他業,潤德
資訊服務業,海柏特
綠能環保,衛司特
半導體設備指標,宏碩系統
光電業,創為精密
廠務工程指標,巨漢
其他業,伯鑫
MCU指標,雅特力-KY
數位雲端,德鴻
電子零組件業,鴻呈
電腦及週邊設備業,宸曜
數位雲端,意藍
生技醫療業,佑全
生技醫療業,圓祥生技
半導體設備指標,家碩
觀光餐旅,旅天下
電子零組件業,汎瑋材料
居家生活,萬達寵物
綠能環保,惠民實業
電機機械,大井泵浦
半導體設備指標,華洋精機
生技醫療業,和迅
半導體業,力領科技
數位雲端,博弘
光電業,邑錡
數位雲端,碩網
半導體設備指標,意德士
文化創意業,樂意
電機機械,昶瑞機電
其他電子業,銳澤
半導體設備指標,明遠精密
觀光餐旅,全家餐飲
電機機械,榮田
分離式元件指標,博盛半導體
生技醫療業,威力德生醫
數位雲端,創泓科技
綠能環保,裕山
航運業,昱臺國際
光纖產品指標,萊德光電-KY
電機機械,友鋮
觀光餐旅,築間
其他電子業,光焱科技
半導體設備指標,印能科技
數位雲端,東聯互動
食品工業,金利食安
電子零組件業,崴寶
數位雲端,昕奇雲端
半導體設備指標,竑騰
光電業,星亞
觀光餐旅,金色三麥
資訊服務業,仁大資訊
半導體業,君曜
半導體業,耀穎
其他業,能率亞洲
居家生活,光速火箭
其他電子業,安葆
居家生活,宏碁智新
數位雲端,威聯通
半導體設備指標,捷創科技
運動休閒,民盛
生技醫療業,海昌生技
資訊服務業,精誠金融
綠能環保,立盈
半導體設備指標,創新服務
數位雲端,達人網
綠能環保,天能綠電
半導體業,佑華
半導體設備指標,鈦昇
IC零組件通路商指標,光菱
通信網路業,榮群
電子零組件業,長園科
半導體業,九暘
電子零組件業,金山電
MLCC指標,蜜望實
數位雲端,網家
其他電子業,星雲
光纖產品指標,德勝
光電業,晶采
電腦及週邊設備業,廣積
USB_IC指標,安國
通信網路業,凱碩
面板設備指標,東捷
居家生活,來思達
電腦通路指標,志旭
IC零組件通路商指標,全達
TFT面板指標,元太
電子零組件業,能率網通
印刷電路板上游與材料指標,鉅橡
電腦及週邊設備業,伍豐
觀光餐旅,洛碁
建材營造業,泰霖
軸承滑軌指標,瑞穎
電子通路業,巨虹
其他電子業,福華
砷化鎵相關指標,宏捷科
綠能環保,麗升能源
電子代工指標,品安
通信網路業,康全電訊
半導體設備指標,翔名
其他電子業,建暐
散熱模組指標,保銳
IC零組件通路商指標,擎亞
通信網路業,常珵
資訊服務業,大世科
半導體業,傑霖科技
電機機械,大億金茂
電子零組件業,博大
光電業,立碁
電子零組件業,越峰
電子零組件業,正淩
電子零組件業,博智
綠能環保,天宇
通信網路業,智捷
石英元件指標,加高
電子代工指標,精星
半導體業,巨有科技
電腦及週邊設備業,新漢
TFT面板指標,華宏
分離式元件指標,朋程
資訊服務業,全景軟體
半導體業,商丞
生技醫療業,生展
資訊服務業,三竹
電子零組件業,泰藝
銅箔基板指標,尚茂
記憶體模組指標,群聯
其他業,益張
鋼鐵工業,恒耀
其他業,冠好
印刷電路板上游與材料指標,金居
廠務工程指標,千附
綠能環保,金益鼎
其他業,白紗科
生技醫療業,盛弘
生技醫療業,商之器
電腦及週邊設備業,森田
